

# The following lines are used to format the Matrix

!T 211 321 2212
!F 211 321 2212 0
!P 15

# !T is a list of particles to be identified.
# !F is a list of particles that !T may be mis-identified as.
# !P is the number of momentum bins.

# P matrix
# RICH PID method: EVT
# h(id): 1:pi 2:k 3:p 4:unidentified
# Format:
# #tracks Pbin Pmin Pmax h(id)=[1...4] pi(true) k(true) p(true)
2 12    12.0    13.0    1       0.978486       0.095588       0.050781
2 12    12.0    13.0    2       0.012749       0.873529       0.039062
2 12    12.0    13.0    3       0.005578       0.023529       0.910156
2 12    12.0    13.0    4       0.003187       0.007353       0.000000
2 13    13.0    14.0    1       0.971621       0.139842       0.042683
2 13    13.0    14.0    2       0.017924       0.828496       0.024390
2 13    13.0    14.0    3       0.003734       0.026385       0.926829
2 13    13.0    14.0    4       0.006721       0.005277       0.006098
2 14    14.0    15.0    1       0.943299       0.186916       0.056818
2 14    14.0    15.0    2       0.043814       0.785047       0.000000
2 14    14.0    15.0    3       0.007732       0.028037       0.931818
2 14    14.0    15.0    4       0.005155       0.000000       0.011364
2 15    15.0    16.0    1       0.926554       0.226087       0.100000
2 15    15.0    16.0    2       0.059322       0.713043       0.000000
2 15    15.0    16.0    3       0.011299       0.052174       0.900000
2 15    15.0    16.0    4       0.002825       0.008696       0.000000
3  1     1.0     2.0    1       0.944921       0.092982       0.101867
3  1     1.0     2.0    2       0.003058       0.007376       0.005500
3  1     1.0     2.0    3       0.005116       0.017881       0.013265
3  1     1.0     2.0    4       0.046905       0.881761       0.879368
3  2     2.0     3.0    1       0.939816       0.075440       0.094400
3  2     2.0     3.0    2       0.008666       0.708323       0.064079
3  2     2.0     3.0    3       0.046889       0.212663       0.840219
3  2     2.0     3.0    4       0.004630       0.003574       0.001302
3  3     3.0     4.0    1       0.970807       0.063738       0.072590
3  3     3.0     4.0    2       0.004557       0.857638       0.043710
3  3     3.0     4.0    3       0.020561       0.072987       0.881618
3  3     3.0     4.0    4       0.004075       0.005637       0.002081
3  4     4.0     5.0    1       0.981734       0.073240       0.057550
3  4     4.0     5.0    2       0.006170       0.889227       0.030322
3  4     4.0     5.0    3       0.007841       0.031649       0.909035
3  4     4.0     5.0    4       0.004255       0.005884       0.003094
3  5     5.0     6.0    1       0.986907       0.083493       0.056926
3  5     5.0     6.0    2       0.004896       0.893474       0.018975
3  5     5.0     6.0    3       0.004364       0.017914       0.922201
3  5     5.0     6.0    4       0.003832       0.005118       0.001898
3  6     6.0     7.0    1       0.986909       0.087827       0.048726
3  6     6.0     7.0    2       0.005065       0.892142       0.047619
3  6     6.0     7.0    3       0.003058       0.014381       0.902547
3  6     6.0     7.0    4       0.004969       0.005650       0.001107
3  7     7.0     8.0    1       0.987372       0.071791       0.031646
3  7     7.0     8.0    2       0.005189       0.910473       0.116034
3  7     7.0     8.0    3       0.005016       0.012669       0.848101
3  7     7.0     8.0    4       0.002422       0.005068       0.004219
3  8     8.0     9.0    1       0.990894       0.072072       0.041825
3  8     8.0     9.0    2       0.004553       0.897898       0.285171
3  8     8.0     9.0    3       0.001626       0.027027       0.673004
3  8     8.0     9.0    4       0.002927       0.003003       0.000000
3  9     9.0    10.0    1       0.988964       0.067500       0.055556
3  9     9.0    10.0    2       0.003066       0.875000       0.291667
3  9     9.0    10.0    3       0.005518       0.042500       0.652778
3  9     9.0    10.0    4       0.002452       0.015000       0.000000
3 10    10.0    11.0    1       0.985167       0.073892       0.050633
3 10    10.0    11.0    2       0.003708       0.886700       0.139241
3 10    10.0    11.0    3       0.004944       0.034483       0.810127
3 10    10.0    11.0    4       0.006180       0.004926       0.000000
3 11    11.0    12.0    1       0.980296       0.081633       0.025000
3 11    11.0    12.0    2       0.009852       0.877551       0.100000
3 11    11.0    12.0    3       0.009852       0.040816       0.825000
3 11    11.0    12.0    4       0.000000       0.000000       0.050000
3 12    12.0    13.0    1       0.964824       0.188679       0.058824
3 12    12.0    13.0    2       0.020101       0.773585       0.000000
3 12    12.0    13.0    3       0.005025       0.037736       0.941176
3 12    12.0    13.0    4       0.010050       0.000000       0.000000
3 13    13.0    14.0    1       0.942308       0.080000       0.142857
3 13    13.0    14.0    2       0.057692       0.840000       0.000000
3 13    13.0    14.0    3       0.000000       0.080000       0.857143
3 13    13.0    14.0    4       0.000000       0.000000       0.000000
3 14    14.0    15.0    1       0.913043       0.058824       0.500000
3 14    14.0    15.0    2       0.043478       0.882353       0.000000
3 14    14.0    15.0    3       0.021739       0.058824       0.500000
3 14    14.0    15.0    4       0.021739       0.000000       0.000000
3 15    15.0    16.0    1       0.888889       0.000000       0.000000
3 15    15.0    16.0    2       0.111111       1.000000       0.000000
3 15    15.0    16.0    3       0.000000       0.000000       1.000000
3 15    15.0    16.0    4       0.000000       0.000000       0.000000
